patient_id,genes,similarities
Group_1,ENSG00000119403,0.39677533507347107
Group_1,ENSG00000132383,0.5080674886703491
Group_1,ENSG00000123836,0.3509728014469147
Group_1,ENSG00000170396,0.4200519323348999
Group_1,ENSG00000183092,0.44036948680877686
Group_1,ENSG00000101003,0.37678033113479614
Group_1,ENSG00000089050,0.34180665016174316
Group_1,ENSG00000101310,0.5120248198509216
Group_1,ENSG00000211448,0.327921062707901
Group_1,ENSG00000144736,0.35286733508110046
Group_1,ENSG00000110080,0.3860868811607361
Group_1,ENSG00000164175,0.35971853137016296
Group_1,ENSG00000157637,0.3480275571346283
Group_1,ENSG00000185504,0.3881714940071106
Group_1,ENSG00000183831,0.22581824660301208
Group_1,ENSG00000138942,0.4218730926513672
Group_1,ENSG00000130348,0.3497360348701477
Group_1,ENSG00000196159,0.5888811349868774
Group_1,ENSG00000203326,0.28446993231773376
Group_1,ENSG00000182870,0.3042023479938507
Group_1,ENSG00000120800,0.42052361369132996
Group_1,ENSG00000127249,0.29574957489967346
Group_1,ENSG00000197329,0.4997290074825287
Group_1,ENSG00000198189,0.38649260997772217
Group_1,ENSG00000108175,0.5190799236297607
Group_1,ENSG00000124491,0.49442940950393677
Group_1,ENSG00000134070,0.4489589333534241
Group_1,ENSG00000117280,0.4064176678657532
Group_1,ENSG00000178537,0.5014972686767578
Group_1,ENSG00000007174,0.5026172399520874
Group_1,ENSG00000106665,0.37931662797927856
Group_1,ENSG00000147852,0.4950525164604187
Group_1,ENSG00000125772,0.29603391885757446
Group_1,ENSG00000101150,0.46895208954811096
Group_1,ENSG00000070814,0.6182597875595093
Group_1,ENSG00000128739,0.5901551246643066
Group_1,ENSG00000138696,0.6061408519744873
Group_1,ENSG00000130590,0.49403369426727295
Group_1,ENSG00000178125,0.3267239034175873
Group_1,ENSG00000094880,0.4692460894584656
Group_1,ENSG00000123977,0.39413946866989136
Group_1,ENSG00000188981,0.28785672783851624
Group_1,ENSG00000158156,0.3607601523399353
Group_1,ENSG00000163635,0.6250173449516296
Group_1,ENSG00000146828,0.35673147439956665
Group_1,ENSG00000148835,0.3693065643310547
Group_1,ENSG00000064601,0.4723318815231323
Group_1,ENSG00000073670,0.2997610569000244
Group_1,ENSG00000144034,0.47726407647132874
Group_1,ENSG00000107147,0.42180657386779785
Group_1,ENSG00000010539,0.3464094400405884
Group_1,ENSG00000010438,0.3942946791648865
Group_1,ENSG00000090612,0.33649158477783203
Group_1,ENSG00000138821,0.46990156173706055
Group_1,ENSG00000136297,0.40614765882492065
Group_1,ENSG00000114742,0.5555026531219482
Group_1,ENSG00000112782,0.43257462978363037
Group_1,ENSG00000077380,0.5319297313690186
Group_1,ENSG00000157426,0.22108963131904602
Group_1,ENSG00000128059,0.4135811924934387
Group_1,ENSG00000177853,0.5133122205734253
Group_1,ENSG00000062524,0.4753801226615906
Group_1,ENSG00000003096,0.39412933588027954
Group_1,ENSG00000122674,0.2486608475446701
Group_1,ENSG00000240583,0.6096718311309814
Group_1,ENSG00000109083,0.4794396162033081
Group_1,ENSG00000139144,0.1780346930027008
Group_1,ENSG00000101977,0.43956249952316284
Group_1,ENSG00000162946,0.5508261919021606
Group_1,ENSG00000166949,0.6452757120132446
Group_1,ENSG00000164638,0.29182183742523193
Group_1,ENSG00000156675,0.33484768867492676
Group_1,ENSG00000183475,0.4109068512916565
Group_1,ENSG00000125485,0.4762726426124573
Group_1,ENSG00000028310,0.473663866519928
Group_1,ENSG00000092020,0.4165697395801544
Group_1,ENSG00000162522,0.384662389755249
Group_1,ENSG00000068489,0.3759913444519043
Group_1,ENSG00000007516,0.28338783979415894
Group_1,ENSG00000180228,0.5770546197891235
Group_1,ENSG00000168228,0.2015232890844345
Group_1,ENSG00000106689,0.4562649726867676
Group_1,ENSG00000138778,0.5376420617103577
Group_1,ENSG00000181513,0.3864705264568329
Group_1,ENSG00000161381,0.4146770238876343
Group_1,ENSG00000166888,0.46419739723205566
Group_1,ENSG00000177076,0.1927669495344162
Group_1,ENSG00000115756,0.4582153856754303
Group_1,ENSG00000171811,0.26217585802078247
Group_1,ENSG00000137070,0.44898223876953125
Group_1,ENSG00000091073,0.5504409670829773
Group_1,ENSG00000145476,0.3527875244617462
Group_1,ENSG00000174720,0.5165214538574219
Group_1,ENSG00000205279,0.4083636999130249
Group_1,ENSG00000112739,0.42423611879348755
Group_1,ENSG00000143498,0.5520691871643066
Group_1,ENSG00000106526,0.3682696223258972
Group_1,ENSG00000111361,0.5378428101539612
Group_1,ENSG00000143067,0.3276129961013794
Group_1,ENSG00000066248,0.41927915811538696
Group_1,ENSG00000165861,0.33765286207199097
Group_1,ENSG00000198722,0.4347521662712097
Group_1,ENSG00000040275,0.4224641025066376
Group_1,ENSG00000103168,0.40095797181129456
Group_1,ENSG00000127952,0.2297416627407074
Group_1,ENSG00000162066,0.4214630722999573
Group_1,ENSG00000162836,0.2173994928598404
Group_1,ENSG00000006071,0.4578002691268921
Group_1,ENSG00000103253,0.24238774180412292
Group_1,ENSG00000241058,0.30440402030944824
Group_1,ENSG00000145214,0.4796421527862549
Group_1,ENSG00000127415,0.4399452805519104
Group_1,ENSG00000181404,0.505806565284729
Group_1,ENSG00000168884,0.4292217195034027
Group_1,ENSG00000188039,0.3649499714374542
Group_1,ENSG00000221829,0.5360183715820312
Group_1,ENSG00000146555,0.2851852774620056
Group_1,ENSG00000205707,0.2649952173233032
Group_1,ENSG00000090581,0.45560532808303833
Group_1,ENSG00000099331,0.4357519745826721
Group_1,ENSG00000184445,0.37412145733833313
Group_1,ENSG00000146530,0.27450862526893616
Group_1,ENSG00000130783,0.4632555842399597
